Time,Compound
3.02999997138977,I
5.53000020980835,I
5.59999990463257,I
9.30000019073486,I
9.92000007629395,I
12.5100002288818,I
12.9499998092651,I
15.210000038147,I
16.0400009155273,I
16.8400001525879,I
3.19000005722046,II
4.26000022888184,II
4.46999979019165,II
4.53000020980835,II
4.67000007629395,II
4.69000005722046,II
5.78000020980835,II
6.78999996185303,II
9.36999988555908,II
12.75,II
3.46000003814697,III
5.21999979019165,III
5.69000005722046,III
6.53999996185303,III
9.15999984741211,III
9.39999961853027,III
10.1899995803833,III
10.710000038147,III
12.5799999237061,III
13.4099998474121,III
5.88000011444092,IV
6.73999977111816,IV
6.90000009536743,IV
6.98000001907349,IV
7.21000003814697,IV
8.14000034332275,IV
8.59000015258789,IV
9.80000019073486,IV
12.2799997329712,IV
25.4599990844727,IV
6.42999982833862,V
9.97000026702881,V
10.3900003433228,V
13.5500001907349,V
14.4499998092651,V
14.7200002670288,V
16.8099994659424,V
18.3899993896484,V
20.8400001525879,V
21.5100002288818,V
